#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
700000,1399.9999999807183,-7426852.48556285,299.4815663311403,42.8
705000,1409.9999999804818,-7423286.39181285,301.6423736669278,42.8
710000,1419.9999999802453,-7426604.55587535,300.42018655163133,42.8
715000,1429.9999999800089,-7421461.53243785,300.2645829631578,42.8
720000,1439.9999999797724,-7420628.82150035,299.98741476335795,42.8
725000,1449.999999979536,-7422522.89181285,300.54622883548103,42.8
730000,1459.9999999792994,-7429645.43087535,300.13708391649124,42.8
735000,1469.999999979063,-7426135.45431285,299.92548543377427,42.8
740000,1479.9999999788265,-7426134.89181285,299.9609723966483,42.8
745000,1489.99999997859,-7423450.57931285,300.3212518863913,42.8
750000,1499.9999999783536,-7423543.36056285,300.128082713872,42.8
755000,1509.999999978117,-7424653.23556285,300.6947693027366,42.8
760000,1519.9999999778806,-7424471.94650035,300.4743501584322,42.8
765000,1529.9999999776442,-7426119.74337535,300.32278457294655,42.8
770000,1539.9999999774077,-7423644.71212535,300.20269556374956,42.8
775000,1549.9999999771712,-7425110.77462535,300.34431607969174,42.8
780000,1559.9999999769348,-7420722.21993785,300.17440378257214,42.8
785000,1569.9999999766983,-7424408.21212535,299.6536537951272,42.8
790000,1579.9999999764618,-7421276.10275035,300.34184220517045,42.8
795000,1589.9999999762254,-7424471.25118785,300.9638888394008,42.8
800000,1599.9999999759889,-7425786.42306285,299.7909912185987,42.8
805000,1609.9999999757524,-7424719.74337535,299.90663425777626,42.8
810000,1619.999999975516,-7421464.42306285,301.17651532122045,42.8
815000,1629.9999999752795,-7421825.34493785,299.65776655216104,42.8
820000,1639.999999975043,-7426006.12618785,300.76922284227004,42.8
825000,1649.9999999748065,-7422988.28243785,299.809070933271,42.8
830000,1659.99999997457,-7429693.63400035,300.2064954520151,42.8
835000,1669.9999999743336,-7426363.80587535,300.7320680034155,42.8
840000,1679.9999999740971,-7425843.69650035,300.07655662136307,42.8
845000,1689.9999999738607,-7426288.66525035,299.98240690732246,42.8
850000,1699.9999999736242,-7425600.00118785,299.713261747337,42.8
855000,1709.9999999733877,-7422919.93868785,300.3326170940601,42.8
860000,1719.9999999731513,-7430839.64181285,299.68843949865584,42.8
865000,1729.9999999729148,-7423251.29806285,299.7984976115247,42.8
870000,1739.9999999726783,-7425358.25118785,300.3681287693068,42.8
875000,1749.9999999724419,-7424988.72775035,300.1259470547254,42.8
880000,1759.9999999722054,-7424423.41525035,300.82304919064546,42.9
885000,1769.999999971969,-7425233.83712535,300.7087132563676,42.9
890000,1779.9999999717324,-7422950.17306285,300.2387277720727,42.9
895000,1789.999999971496,-7424058.87618785,300.16734935106655,42.9
900000,1799.9999999712595,-7425860.79806285,300.21955210831237,42.9
905000,1809.999999971023,-7424166.80587535,300.707638163463,42.9
910000,1819.9999999707866,-7424398.16525035,299.7301473633021,42.9
915000,1829.99999997055,-7424155.88400035,300.4879695727413,42.9
920000,1839.9999999703136,-7416644.44650035,299.53168191527016,42.9
925000,1849.9999999700772,-7420982.07150035,300.35646970013454,42.9
930000,1859.9999999698407,-7424115.25900035,299.54293851386916,42.9
935000,1869.9999999696042,-7424865.82931285,299.8078857608268,42.9
940000,1879.9999999693678,-7424690.77462535,300.1290362197949,42.9
945000,1889.9999999691313,-7419307.65743785,300.5795530174468,42.9
950000,1899.9999999688948,-7426316.05587535,300.76956749410846,42.9
955000,1909.9999999686584,-7426868.63400035,300.0779069685316,42.9
960000,1919.999999968422,-7421572.62618785,300.44391635828975,42.9
965000,1929.9999999681854,-7428902.82150035,299.95061564919706,42.9
970000,1939.999999967949,-7426682.25900035,300.1349176685117,42.9
975000,1949.9999999677125,-7428338.43868785,300.226939125083,42.9
980000,1959.999999967476,-7428979.17306285,300.3382186129779,42.9
985000,1969.9999999672395,-7423345.14181285,300.5259444280899,42.9
990000,1979.999999967003,-7424479.71212535,300.18074628655194,42.9
995000,1989.9999999667666,-7424274.85275035,299.8243914179233,42.9
1000000,1999.9999999665301,-7420941.52462535,300.12261431436286,42.9
1005000,2009.9999999662937,-7425146.06368785,300.0846020202877,42.9
1010000,2019.9999999660572,-7423176.43087535,300.78954071081995,42.9
1015000,2029.9999999658207,-7427071.61056285,300.3079536744248,42.9
1020000,2039.9999999655843,-7426649.72775035,299.73987118763534,42.9
1025000,2049.999999965348,-7428727.91525035,299.8846052499093,42.9
1030000,2059.9999999651113,-7422708.69650035,300.1484223449638,42.9
1035000,2069.999999964875,-7423634.45431285,300.83033794441474,42.9
1040000,2079.9999999646384,-7423453.86837535,300.7298064376106,42.9
1045000,2089.999999964402,-7423554.81368785,301.19184415227625,42.9
1050000,2099.9999999641655,-7420835.60275035,300.6736812633625,42.9
1055000,2109.999999963929,-7423804.93087535,299.7628839360774,42.9
1060000,2119.9999999636925,-7426418.37618785,300.5732531044391,42.9
1065000,2129.999999963456,-7422922.78243785,300.3540835323692,42.9
1070000,2139.9999999632196,-7429960.96212535,299.9015810550986,42.9
1075000,2149.999999962983,-7425019.61056285,300.68449329894463,42.9
1080000,2159.9999999627466,-7433114.64181285,300.4657190903714,42.9
1085000,2169.99999996251,-7425106.07150035,300.70075513968493,42.9
1090000,2179.9999999622737,-7419524.53243785,300.3398485242516,42.9
1095000,2189.9999999620372,-7423387.17306285,300.77080505018205,42.9
1100000,2199.9999999618008,-7421195.38400035,300.43324653367415,42.9
1105000,2209.9999999615643,-7424866.11056285,300.4833509304284,42.9
1110000,2219.999999961328,-7425552.22775035,299.97175771382393,42.9
1115000,2229.9999999610914,-7423167.55587535,299.9190750135092,42.9
1120000,2239.999999960855,-7423683.75900035,301.0889954962105,42.9
1125000,2249.9999999606184,-7421290.14962535,299.94356503538097,42.9
1130000,2259.999999960382,-7424034.18087535,300.08579291366584,42.9
1135000,2269.9999999601455,-7418302.14962535,300.2379948173805,42.9
1140000,2279.999999959909,-7427379.75118785,301.1353259532487,42.9
1145000,2289.9999999596726,-7423880.70431285,300.06647923582227,42.9
1150000,2299.999999959436,-7423337.25118785,300.3210735039416,42.9
1155000,2309.9999999591996,-7425380.91525035,300.7293092856282,42.9
1160000,2319.999999958963,-7426989.85275035,300.44270259555003,42.9
1165000,2329.9999999587267,-7425797.79025035,299.668839095619,42.9
1170000,2339.99999995849,-7423105.96212535,300.2982399492009,42.9
1175000,2349.9999999582537,-7421061.36837535,299.8635625970323,42.9
1180000,2359.9999999580173,-7425473.21993785,300.20113706697293,42.9
1185000,2369.999999957781,-7428362.70431285,300.1011555354277,42.9
1190000,2379.9999999575443,-7422583.88400035,300.6728589875818,42.9
1195000,2389.999999957308,-7424599.79806285,300.1888312761382,42.9
1200000,2399.9999999570714,-7425409.59493785,300.34468249810163,42.9
1205000,2409.999999956835,-7428018.29806285,300.0267575401836,42.9
1210000,2419.9999999565985,-7425565.37618785,300.36848060361234,42.9
1215000,2429.999999956362,-7421544.44650035,300.3178580844642,42.9
1220000,2439.9999999561255,-7425956.35275035,300.80227823748606,42.9
1225000,2449.999999955889,-7424610.90743785,300.1540473855351,42.9
1230000,2459.9999999556526,-7424451.49337535,300.3618788342817,42.9
1235000,2469.999999955416,-7425639.64962535,300.148728587561,42.9
1240000,2479.9999999551796,-7425049.63400035,300.51582632100116,42.9
1245000,2489.999999954943,-7426664.97775035,299.8460951734271,42.9
1250000,2499.9999999547067,-7424406.71993785,300.51335353812664,42.9
1255000,2509.9999999544702,-7421858.78243785,300.1582075841773,42.9
1260000,2519.9999999542338,-7425178.78243785,300.01590864242286,42.9
1265000,2529.9999999539973,-7426754.61837535,299.6862511624854,42.9
1270000,2539.999999953761,-7426011.86056285,299.7401419657472,42.9
1275000,2549.9999999535244,-7430597.26681285,300.74740751665587,42.9
1280000,2559.999999953288,-7424942.61056285,300.54724296445875,42.9
1285000,2569.9999999530514,-7427987.97775035,300.4972569052344,42.9
1290000,2579.999999952815,-7421439.75900035,299.91521780445004,42.9
1295000,2589.9999999525785,-7426579.16525035,300.60750782874106,42.9
1300000,2599.999999952342,-7425865.38400035,299.8474184917027,42.9
1305000,2609.9999999521056,-7430945.75118785,300.42424989747894,42.9
1310000,2619.999999951869,-7429228.30587535,300.73964649946737,42.9
1315000,2629.9999999516326,-7426054.50118785,300.44592183224023,42.9
1320000,2639.999999951396,-7424726.16525035,300.719116336169,42.9
1325000,2649.9999999511597,-7425659.89181285,300.34854648499515,42.9
1330000,2659.999999950923,-7427711.82931285,299.87545214000045,42.9
1335000,2669.9999999506867,-7425349.61056285,300.7368570314962,42.9
1340000,2679.9999999504503,-7427798.11837535,300.0654198594247,42.9
1345000,2689.999999950214,-7422918.65743785,300.00103038914636,42.9
1350000,2699.9999999499773,-7421512.92306285,299.91531871423814,42.9
1355000,2709.999999949741,-7425762.71993785,300.9524141693423,42.9
1360000,2719.9999999495044,-7421562.18087535,299.5664629364539,42.9
1365000,2729.999999949268,-7426489.72775035,300.141849354289,42.9
1370000,2739.9999999490315,-7423669.01681285,300.24383016141223,42.9
1375000,2749.999999948795,-7428573.93868785,300.2238102833611,42.9
1380000,2759.9999999485585,-7420305.74337535,300.1336166189778,42.9
1385000,2769.999999948322,-7427612.55587535,299.76751657096594,42.9
1390000,2779.9999999480856,-7424286.57931285,299.9208596337574,42.9
1395000,2789.999999947849,-7425847.19650035,300.5191615081324,42.9
1400000,2799.9999999476127,-7430503.89181285,300.2828022815572,42.9
1405000,2809.999999947376,-7424733.39181285,300.31488578155324,42.9
1410000,2819.9999999471397,-7428029.57931285,300.1779849283548,42.9
1415000,2829.9999999469032,-7424502.37618785,300.00365206341746,42.9
1420000,2839.999999946667,-7422751.36837535,300.77567207311677,42.9
1425000,2849.9999999464303,-7424492.91525035,300.07097448727586,42.9
1430000,2859.999999946194,-7417373.14181285,300.05887135226186,42.9
1435000,2869.9999999459574,-7426419.70431285,300.4209948497669,42.9
1440000,2879.999999945721,-7424357.17306285,300.34252853144864,42.9
1445000,2889.9999999454844,-7422852.93087535,299.77982305231563,42.9
1450000,2899.999999945248,-7427488.07150035,299.7882769147506,42.9
1455000,2909.9999999450115,-7422910.34493785,300.8632002975683,42.9
1460000,2919.999999944775,-7423717.77462535,300.8173987015241,42.9
1465000,2929.9999999445386,-7423111.90743785,300.424917179433,42.9
1470000,2939.999999944302,-7422762.66525035,300.11559561760276,42.9
1475000,2949.9999999440656,-7424608.57150035,300.89070958540555,42.9
1480000,2959.999999943829,-7421227.74337535,300.526148393033,42.9
1485000,2969.9999999435927,-7425848.44650035,299.076047508074,42.9
1490000,2979.999999943356,-7420020.03243785,300.48080113986407,42.9
1495000,2989.9999999431197,-7425072.60275035,299.7610868070328,42.9
1500000,2999.9999999428833,-7424908.79025035,300.2689967708276,42.9
1505000,3009.999999942647,-7420371.43087535,299.51251302404154,42.9
1510000,3019.9999999424103,-7423742.82931285,299.6326369572478,42.9
1515000,3029.999999942174,-7423865.72775035,300.5307033524177,42.9
1520000,3039.9999999419374,-7426771.34493785,300.4605008808393,42.9
1525000,3049.999999941701,-7428727.32150035,299.8214982714033,42.9
1530000,3059.9999999414645,-7424414.50900035,299.6750083614659,42.9
1535000,3069.999999941228,-7424259.11056285,300.4680049017423,42.9
1540000,3079.9999999409915,-7419768.98556285,300.6072358520478,42.9
1545000,3089.999999940755,-7426940.86056285,300.1561683302412,42.9
1550000,3099.9999999405186,-7429399.21212535,299.601985306239,42.9
1555000,3109.999999940282,-7425478.19650035,299.5536150536374,42.9
1560000,3119.9999999400457,-7426759.29806285,299.8345903774233,42.9
1565000,3129.999999939809,-7430122.31368785,299.47501088618,42.9
1570000,3139.9999999395727,-7426179.61056285,300.05696050275793,42.9
1575000,3149.9999999393362,-7428182.17306285,300.1222792213716,42.9
1580000,3159.9999999391,-7425794.67306285,300.8684954645896,42.9
1585000,3169.9999999388633,-7425013.98556285,300.77525498155364,42.9
1590000,3179.999999938627,-7428538.97775035,299.92675895641844,42.9
1595000,3189.9999999383904,-7425411.73556285,300.2523399065022,42.9
1600000,3199.999999938154,-7426856.22775035,300.266531042925,42.9
1605000,3209.9999999379174,-7425804.58712535,299.2289112052011,42.9
1610000,3219.999999937681,-7425494.06368785,300.544914297521,42.9
1615000,3229.9999999374445,-7429985.93087535,300.18300886912607,42.9
1620000,3239.999999937208,-7424570.71212535,300.523356411101,42.9
1625000,3249.9999999369716,-7431975.82150035,300.7555764763252,42.9
1630000,3259.999999936735,-7422685.11056285,299.9014947545797,42.9
1635000,3269.9999999364986,-7425808.36837535,300.7060721933968,42.9
1640000,3279.999999936262,-7430330.09493785,300.1664344817455,42.9
1645000,3289.9999999360257,-7426223.01681285,300.355974104552,42.9
1650000,3299.999999935789,-7422460.45431285,300.2836735440795,42.9
1655000,3309.9999999355528,-7426155.81368785,299.48286009038486,42.9
1660000,3319.9999999353163,-7423800.93087535,300.4936629137319,42.9
1665000,3329.99999993508,-7424354.68868785,299.7942011857084,42.9
1670000,3339.9999999348433,-7425339.20431285,300.93487719272935,42.9
1675000,3349.999999934607,-7429092.20431285,300.8344184544599,42.9
1680000,3359.9999999343704,-7423310.79025035,300.1123477007219,42.9
1685000,3369.999999934134,-7424642.01681285,300.36037460551574,42.9
1690000,3379.9999999338975,-7426199.52462535,300.34704551510123,42.9
1695000,3389.999999933661,-7424224.86837535,300.82676919916213,42.9
1700000,3399.9999999334245,-7423206.30587535,300.0885848822535,42.9
