time_ns,rmsd_angstrom
8.900000000000000355e+00,4.461106777191162109e+00
8.950000000000001066e+00,4.423468589782714844e+00
9.000000000000000000e+00,4.458302497863769531e+00
9.050000000000000711e+00,4.511543750762939453e+00
9.099999999999999645e+00,4.340610504150390625e+00
9.150000000000000355e+00,4.314729690551757812e+00
9.200000000000001066e+00,4.419188499450683594e+00
9.250000000000000000e+00,4.373688220977783203e+00
9.300000000000000711e+00,4.241899967193603516e+00
9.349999999999999645e+00,4.279770851135253906e+00
9.400000000000000355e+00,4.347686767578125000e+00
9.450000000000001066e+00,4.392626762390136719e+00
9.500000000000000000e+00,4.355675697326660156e+00
9.550000000000000711e+00,4.457057952880859375e+00
9.600000000000001421e+00,4.579943656921386719e+00
9.650000000000000355e+00,4.527156829833984375e+00
9.700000000000001066e+00,4.536679267883300781e+00
9.750000000000000000e+00,4.559971809387207031e+00
9.800000000000000711e+00,4.396420478820800781e+00
9.850000000000001421e+00,4.484216690063476562e+00
9.900000000000000355e+00,4.503430366516113281e+00
9.950000000000001066e+00,4.640361785888671875e+00
1.000000000000000000e+01,4.494347572326660156e+00
1.005000000000000071e+01,4.662024497985839844e+00
1.010000000000000142e+01,4.702211380004882812e+00
1.015000000000000036e+01,4.802370548248291016e+00
1.020000000000000107e+01,4.724884986877441406e+00
1.025000000000000000e+01,4.617887020111083984e+00
1.030000000000000071e+01,4.708880424499511719e+00
1.035000000000000142e+01,4.646100044250488281e+00
1.040000000000000036e+01,4.628648757934570312e+00
1.045000000000000107e+01,4.614914894104003906e+00
1.050000000000000000e+01,4.638708114624023438e+00
1.055000000000000071e+01,4.638705253601074219e+00
1.060000000000000142e+01,4.669751644134521484e+00
1.065000000000000036e+01,4.537936210632324219e+00
1.070000000000000107e+01,4.449562549591064453e+00
1.075000000000000000e+01,4.588503360748291016e+00
1.080000000000000071e+01,4.611389160156250000e+00
1.085000000000000142e+01,4.815865993499755859e+00
1.090000000000000036e+01,4.819150924682617188e+00
1.095000000000000107e+01,4.670808792114257812e+00
1.100000000000000000e+01,4.797993659973144531e+00
1.105000000000000071e+01,4.955028533935546875e+00
1.110000000000000142e+01,4.814704895019531250e+00
1.115000000000000036e+01,4.991939067840576172e+00
1.120000000000000107e+01,5.016109943389892578e+00
1.125000000000000000e+01,4.935973167419433594e+00
1.130000000000000071e+01,4.970761299133300781e+00
1.135000000000000142e+01,5.042498588562011719e+00
1.140000000000000036e+01,5.066944122314453125e+00
1.145000000000000107e+01,5.072368621826171875e+00
1.150000000000000000e+01,5.161720275878906250e+00
1.155000000000000071e+01,5.176583290100097656e+00
1.160000000000000142e+01,5.148408889770507812e+00
1.165000000000000036e+01,5.272744178771972656e+00
1.170000000000000107e+01,5.208003520965576172e+00
1.175000000000000000e+01,5.354837417602539062e+00
1.180000000000000071e+01,5.394566535949707031e+00
1.185000000000000142e+01,5.348408699035644531e+00
1.190000000000000036e+01,5.242777824401855469e+00
1.195000000000000107e+01,5.284603118896484375e+00
1.200000000000000000e+01,5.268517494201660156e+00
1.205000000000000071e+01,5.241062164306640625e+00
1.210000000000000142e+01,5.372378349304199219e+00
1.215000000000000036e+01,5.255392074584960938e+00
1.220000000000000107e+01,5.189044952392578125e+00
1.225000000000000000e+01,5.442836761474609375e+00
1.230000000000000071e+01,5.663345336914062500e+00
1.235000000000000142e+01,5.641025066375732422e+00
1.240000000000000036e+01,5.691525459289550781e+00
1.245000000000000107e+01,5.686047077178955078e+00
1.250000000000000000e+01,5.694310188293457031e+00
1.255000000000000071e+01,5.845398902893066406e+00
1.260000000000000142e+01,5.796139717102050781e+00
1.265000000000000036e+01,5.683363914489746094e+00
1.270000000000000107e+01,5.729943752288818359e+00
1.275000000000000000e+01,5.607132434844970703e+00
1.280000000000000071e+01,5.631558418273925781e+00
1.285000000000000142e+01,5.734319686889648438e+00
1.290000000000000036e+01,5.569139480590820312e+00
1.295000000000000107e+01,5.595958232879638672e+00
1.300000000000000000e+01,5.612249374389648438e+00
1.305000000000000071e+01,5.707367897033691406e+00
1.310000000000000142e+01,5.599345207214355469e+00
1.315000000000000036e+01,5.510661125183105469e+00
1.320000000000000107e+01,5.499139308929443359e+00
1.325000000000000000e+01,5.548332214355468750e+00
1.330000000000000071e+01,5.568938255310058594e+00
1.335000000000000142e+01,5.477933883666992188e+00
1.340000000000000036e+01,5.487668037414550781e+00
1.345000000000000107e+01,5.592894077301025391e+00
1.350000000000000000e+01,5.764746189117431641e+00
1.355000000000000071e+01,5.678562164306640625e+00
1.360000000000000142e+01,5.734209060668945312e+00
1.365000000000000036e+01,5.620360851287841797e+00
1.370000000000000107e+01,5.637951374053955078e+00
1.375000000000000000e+01,5.817295074462890625e+00
1.380000000000000071e+01,5.827248573303222656e+00
1.385000000000000142e+01,5.955574989318847656e+00
1.390000000000000036e+01,5.975723266601562500e+00
1.395000000000000107e+01,5.818629264831542969e+00
1.400000000000000000e+01,5.910013198852539062e+00
1.405000000000000071e+01,5.996222496032714844e+00
1.410000000000000142e+01,6.149266242980957031e+00
1.415000000000000036e+01,6.016580581665039062e+00
1.420000000000000107e+01,6.121872901916503906e+00
1.425000000000000000e+01,6.092499732971191406e+00
1.430000000000000071e+01,6.118436813354492188e+00
1.435000000000000142e+01,6.216619491577148438e+00
1.440000000000000036e+01,6.446330070495605469e+00
1.445000000000000107e+01,6.302023887634277344e+00
1.450000000000000000e+01,6.218304634094238281e+00
1.455000000000000071e+01,6.243008613586425781e+00
1.460000000000000142e+01,6.312642097473144531e+00
1.465000000000000036e+01,6.281460762023925781e+00
1.470000000000000107e+01,6.187190055847167969e+00
1.475000000000000000e+01,6.134914398193359375e+00
1.480000000000000071e+01,5.929099559783935547e+00
1.485000000000000142e+01,5.878753662109375000e+00
1.490000000000000036e+01,5.947708129882812500e+00
1.495000000000000107e+01,5.924383640289306641e+00
1.500000000000000000e+01,5.889361381530761719e+00
1.505000000000000071e+01,6.126576423645019531e+00
1.510000000000000142e+01,6.121174812316894531e+00
1.515000000000000036e+01,5.924306869506835938e+00
1.520000000000000107e+01,6.184061527252197266e+00
1.525000000000000000e+01,6.262589454650878906e+00
1.530000000000000071e+01,6.401556968688964844e+00
1.535000000000000142e+01,6.440398216247558594e+00
1.540000000000000036e+01,6.268657684326171875e+00
1.545000000000000107e+01,6.395178794860839844e+00
1.550000000000000000e+01,6.440144538879394531e+00
1.555000000000000071e+01,6.379183769226074219e+00
1.560000000000000142e+01,6.247815132141113281e+00
1.565000000000000036e+01,6.233361244201660156e+00
1.570000000000000107e+01,6.281836032867431641e+00
1.575000000000000000e+01,6.287172317504882812e+00
1.580000000000000071e+01,6.373198032379150391e+00
1.585000000000000142e+01,6.477287292480468750e+00
1.590000000000000036e+01,6.523803234100341797e+00
1.595000000000000107e+01,6.630121231079101562e+00
1.600000000000000000e+01,6.695509910583496094e+00
1.605000000000000071e+01,6.709286689758300781e+00
1.610000000000000142e+01,6.610778808593750000e+00
1.615000000000000213e+01,6.537011146545410156e+00
1.619999999999999929e+01,6.379062652587890625e+00
1.625000000000000000e+01,6.316232681274414062e+00
1.630000000000000071e+01,6.257824897766113281e+00
1.635000000000000142e+01,6.395270824432373047e+00
1.640000000000000213e+01,6.397440433502197266e+00
1.644999999999999929e+01,6.481983184814453125e+00
1.650000000000000000e+01,6.611688137054443359e+00
1.655000000000000071e+01,6.658797264099121094e+00
1.660000000000000142e+01,6.680730342864990234e+00
1.665000000000000213e+01,6.582387924194335938e+00
1.669999999999999929e+01,6.594676971435546875e+00
1.675000000000000000e+01,6.622357368469238281e+00
1.680000000000000071e+01,6.475683212280273438e+00
1.685000000000000142e+01,6.511977672576904297e+00
1.690000000000000213e+01,6.444566726684570312e+00
1.694999999999999929e+01,6.409605503082275391e+00
1.700000000000000000e+01,6.451640129089355469e+00
1.705000000000000071e+01,6.468440055847167969e+00
1.710000000000000142e+01,6.485065460205078125e+00
1.715000000000000213e+01,6.388233184814453125e+00
1.719999999999999929e+01,6.384825229644775391e+00
1.725000000000000000e+01,6.385052204132080078e+00
1.730000000000000071e+01,6.445140838623046875e+00
1.735000000000000142e+01,6.313563823699951172e+00
1.740000000000000213e+01,6.429857730865478516e+00
1.744999999999999929e+01,6.395370960235595703e+00
1.750000000000000000e+01,6.287235260009765625e+00
1.755000000000000071e+01,6.370889663696289062e+00
1.760000000000000142e+01,6.317906379699707031e+00
1.765000000000000213e+01,6.409563064575195312e+00
1.769999999999999929e+01,6.322053909301757812e+00
1.775000000000000000e+01,6.336853981018066406e+00
1.780000000000000071e+01,6.540897846221923828e+00
1.785000000000000142e+01,6.565743923187255859e+00
1.790000000000000213e+01,6.610327720642089844e+00
1.794999999999999929e+01,6.664081573486328125e+00
1.800000000000000000e+01,6.714455127716064453e+00
1.805000000000000071e+01,6.621844768524169922e+00
1.810000000000000142e+01,6.693904876708984375e+00
1.815000000000000213e+01,6.672330856323242188e+00
1.819999999999999929e+01,6.572404861450195312e+00
1.825000000000000000e+01,6.622113227844238281e+00
1.830000000000000071e+01,6.525923728942871094e+00
1.835000000000000142e+01,6.498066425323486328e+00
1.840000000000000213e+01,6.436800956726074219e+00
1.844999999999999929e+01,6.265565872192382812e+00
1.850000000000000000e+01,6.244603633880615234e+00
1.855000000000000071e+01,6.196594238281250000e+00
1.860000000000000142e+01,6.180524826049804688e+00
